Host,Cipher,CipherStrength,KeyAlgorithm,KeyBits,SelfSigned,Serial,NotValidBefore,NotValidAfter,SubjectDN,IssuerDN
ap.be,/C=BE/ST=Antwerpen/O=Artesis Plantijn Hogeschool Antwerpen/CN=ap.be,2048,RSA,2048,Not available,19:71:20:04:c4:13:77:1a:06:03:e1:ce:88:a2:4b:0f,Sep 29 00:00:00 2023 GMT,Sep 28 23:59:59 2024 GMT,/C=BE/ST=Antwerpen/O=Artesis Plantijn Hogeschool Antwerpen/CN=ap.be,/C=NL/O=GEANT Vereniging/CN=GEANT OV RSA CA 4
ap.be,ap.be,2048,RSA,2048,false,Not available,Sep 29 00:00:00 2023 GMT,Sep 28 23:59:59 2024 GMT,ap.be,GEANT OV RSA CA 4
